date,rainfall_mm,water_level_meters,flow_m3_s,temperature_celsius,do_mg_L,bod_mg_L,nitrate_mg_L,fecal_coliform_mpn_100ml
2020-01-01,3.05,70.0,809.62,17.43,6.69,6.55,5.09,7500.0
2020-01-02,1.34,69.94,800.09,17.33,6.62,6.24,5.06,7550.0
2020-01-03,2.58,69.78,776.58,16.92,6.54,6.39,5.19,7688.0
2020-01-04,2.16,69.77,775.19,17.0,6.6,6.45,5.1,7734.0
2020-01-05,3.13,69.71,765.93,16.6,6.45,6.38,5.27,7190.0
2020-01-06,1.59,69.74,770.18,15.83,6.9,5.56,5.11,7012.0
2020-01-07,0.29,69.63,753.66,16.77,6.72,6.26,4.97,6692.0
2020-01-08,2.39,69.54,740.73,16.79,6.86,6.59,4.97,6493.0
2020-01-09,1.88,69.61,750.59,16.32,6.73,5.81,5.08,5595.0
2020-01-10,3.07,69.56,742.94,16.8,6.6,6.56,5.12,5653.0
2020-01-11,3.06,69.54,741.11,16.57,6.77,6.36,4.76,5268.0
2020-01-12,0.43,69.48,731.87,16.41,6.32,5.96,5.92,5769.0
2020-01-13,1.39,69.34,710.18,15.52,6.87,5.91,5.26,5804.0
2020-01-14,0.43,69.24,695.56,16.38,6.87,6.0,5.37,4753.0
2020-01-15,0.07,69.0,659.15,16.3,6.75,6.14,4.89,4180.0
2020-01-16,1.61,68.79,627.75,16.61,6.63,5.69,5.22,3793.0
2020-01-17,0.71,68.67,610.79,15.52,7.17,5.48,4.87,3122.0
2020-01-18,4.9,68.6,598.91,16.3,6.74,6.64,4.91,3213.0
2020-01-19,2.34,68.75,622.15,16.05,6.99,5.98,4.6,3658.0
2020-01-20,4.39,68.72,617.24,16.07,6.87,5.27,5.17,3708.0
2020-01-21,2.46,68.72,618.19,16.35,6.89,6.48,5.07,3145.0
2020-01-22,4.32,68.74,620.18,15.85,7.06,5.63,5.12,3906.0
2020-01-23,3.51,68.81,631.62,16.41,7.39,5.84,4.44,4175.0
2020-01-24,3.13,68.85,637.83,15.93,7.43,5.43,5.1,4150.0
2020-01-25,1.78,68.83,634.75,16.3,6.6,6.15,5.28,3727.0
2020-01-26,4.0,68.87,639.7,16.71,6.63,5.84,5.16,3860.0
2020-01-27,3.71,68.94,650.34,15.65,6.49,5.9,5.76,3265.0
2020-01-28,0.24,68.94,650.18,16.43,6.44,5.82,5.55,3118.0
2020-01-29,2.17,68.84,635.9,15.67,6.35,6.63,4.75,3230.0
2020-01-30,1.84,68.79,628.73,15.57,6.73,5.92,5.52,3404.0
2020-01-31,3.26,68.79,627.88,16.17,6.68,5.68,5.42,3265.0
2020-02-01,1.85,68.67,610.86,15.3,7.26,6.32,4.75,3462.0
2020-02-02,1.57,68.58,597.17,16.12,6.94,5.97,4.7,3551.0
2020-02-03,1.19,68.5,584.62,15.73,6.91,5.6,5.57,2708.0
2020-02-04,0.82,68.5,584.62,15.71,6.71,6.09,4.86,2050.0
2020-02-05,0.36,68.5,584.62,15.0,6.88,6.21,5.52,1926.0
2020-02-06,0.39,68.5,584.62,15.77,7.23,6.45,4.97,2191.0
2020-02-07,1.27,68.5,584.62,15.76,6.87,5.68,5.28,1985.0
2020-02-08,4.01,68.5,584.62,16.25,6.73,6.15,5.25,2304.0
2020-02-09,3.23,68.56,594.35,15.54,7.2,6.14,5.25,2938.0
2020-02-10,3.4,68.6,598.92,16.5,6.85,5.74,5.05,3474.0
2020-02-11,4.41,68.58,597.21,16.58,7.29,5.39,4.49,3749.0
2020-02-12,1.59,68.64,605.04,16.23,7.21,5.59,4.98,3312.0
2020-02-13,1.59,68.56,592.98,16.19,6.85,5.99,4.82,4260.0
2020-02-14,3.43,68.51,586.47,16.11,6.75,6.31,5.6,4355.0
2020-02-15,4.91,68.56,593.72,16.57,7.04,5.97,4.81,4606.0
2020-02-16,3.42,68.65,606.45,16.69,6.89,5.91,5.4,4638.0
2020-02-17,1.14,68.62,602.9,16.82,6.66,6.19,5.05,4925.0
2020-02-18,4.18,68.58,596.04,16.77,6.9,6.03,5.1,5508.0
2020-02-19,2.78,68.66,608.53,16.46,6.97,5.54,5.07,5544.0
2020-02-20,0.4,68.55,592.1,16.14,6.74,5.93,5.09,5261.0
2020-02-21,4.14,68.5,584.62,17.02,6.33,6.29,5.1,5357.0
2020-02-22,0.3,68.54,590.45,16.64,6.95,5.57,4.77,4975.0
2020-02-23,1.75,68.5,584.62,17.27,6.88,5.51,5.42,4755.0
2020-02-24,2.12,68.5,584.62,17.09,6.68,6.22,5.12,4995.0
2020-02-25,2.58,68.5,584.62,16.81,7.08,6.33,4.69,9644.0
2020-02-26,4.95,68.57,594.59,16.76,6.93,5.6,4.62,8892.0
2020-02-27,4.62,68.72,618.16,17.36,6.66,5.39,5.38,8865.0
2020-02-28,3.09,68.85,637.81,16.93,6.86,6.06,4.86,8001.0
2020-02-29,4.6,68.91,645.57,16.93,6.6,5.58,4.95,7963.0
2020-03-01,4.4,68.98,656.01,17.18,6.61,6.19,5.39,7258.0
2020-03-02,0.81,68.98,656.49,17.74,6.47,6.7,4.97,7454.0
2020-03-03,4.9,68.99,658.83,17.84,6.34,6.19,5.56,6656.0
2020-03-04,1.31,68.96,653.51,18.03,6.5,6.36,5.49,6133.0
2020-03-05,3.99,68.9,645.09,17.87,6.67,5.95,5.48,5695.0
2020-03-06,1.28,68.78,626.83,17.27,6.85,5.54,5.07,5776.0
2020-03-07,0.93,68.64,605.19,17.66,6.84,6.04,5.49,5411.0
2020-03-08,1.22,68.5,584.62,17.72,6.53,5.7,5.26,5205.0
2020-03-09,2.52,68.5,584.62,17.84,6.34,6.37,5.78,4516.0
2020-03-10,0.5,68.5,584.62,17.78,7.06,5.08,5.13,4575.0
